"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-07",,,,,"0.16",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-27",,,,,"0.14",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-06-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-11",,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-12",,,,,"0.32",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-14",,,,,"0.41",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-18",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-21",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-25",,,,,"0.37",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-28",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-30",,,,,"0.24",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-07-31",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-03",,,,,"0.70",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2017-08-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-25",,,,,"0.00","0.0","0.0",,"50","28","43",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-26",,,,,"0.08","0.0","0.0",,"59","37","37",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-27",,,,,"0.10","0.0","0.0",,"41","37","37",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-28",,,,,"0.51","0.0","0.0",,"53","37","44",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-29",,,,,"0.37","0.0","0.0",,"48","43","44",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-30",,,,,"0.00","0.0","0.0",,"56","31","31",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-03-31",,,,,"0.30","0.0","0.0",,"53","30","37",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-01",,,,,"1.49","0.0","0.0",,"40","36","36",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-02",,,,,"0.00","0.0","0.0",,"48","35","39",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-03",,,,,"0.00","0.0","0.0",,"61","36","37",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-04",,,,,"1.06","0.0","0.0",,"66","35","49",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-05",,,,,"0.10","0.0","0.0",,"51","46","47",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-06",,,,,"0.02","0.0","0.0",,"65","41","42",,,,,,,,,,,,,,,,
